tcp_stream,mss_negotiated,ch_tcp_bytes,sh_tcp_bytes,ch_packets,sh_packets,handshake_duration_ms,crypto_cost_ratio_sh_over_ch,has_ch,has_sh,has_end_heuristic,handshake_complete
151,1460,1383,3572,1,1,15560.990,2.582791,1,1,1,1
152,1460,1383,3572,1,1,16049.681,2.582791,1,1,1,1
153,1460,1383,3572,1,1,16029.449,2.582791,1,1,1,1
154,1460,1383,3572,1,1,15894.353,2.582791,1,1,1,1
155,1460,1383,3572,1,1,16280.605,2.582791,1,1,1,1
156,1460,1383,3572,1,1,16297.031,2.582791,1,1,1,1
157,1460,1383,3572,1,1,16402.143,2.582791,1,1,1,1
158,1460,1383,3572,1,1,16591.187,2.582791,1,1,1,1
159,1460,1383,3572,1,1,16623.864,2.582791,1,1,1,1
160,1460,1383,3572,1,1,17003.703,2.582791,1,1,1,1
161,1460,1383,3572,1,1,17051.061,2.582791,1,1,1,1
162,1460,1383,3572,1,1,17095.977,2.582791,1,1,1,1
163,1460,1383,3572,1,1,17017.754,2.582791,1,1,1,1
164,1460,1383,3572,1,1,17151.080,2.582791,1,1,1,1
165,1460,1383,3572,1,1,17137.374,2.582791,1,1,1,1
166,1460,1383,3572,1,1,17145.289,2.582791,1,1,1,1
167,1460,1383,3572,1,1,17202.805,2.582791,1,1,1,1
168,1460,1383,3572,1,1,17234.630,2.582791,1,1,1,1
169,1460,1383,3572,1,1,17230.220,2.582791,1,1,1,1
170,1460,1383,3572,1,1,17224.495,2.582791,1,1,1,1
171,1460,1383,3572,1,1,17183.923,2.582791,1,1,1,1
172,1460,1383,3572,1,1,16566.843,2.582791,1,1,1,1
173,1460,1383,3572,1,1,17235.891,2.582791,1,1,1,1
174,1460,1383,3572,1,1,17239.589,2.582791,1,1,1,1
175,1460,1383,3572,1,1,17247.384,2.582791,1,1,1,1
176,1460,1383,3572,1,1,17275.839,2.582791,1,1,1,1
177,1460,1383,3572,1,1,17326.489,2.582791,1,1,1,1
178,1460,1383,3572,1,1,17343.571,2.582791,1,1,1,1
179,1460,1383,3572,1,1,17348.903,2.582791,1,1,1,1
180,1460,1383,3572,1,1,17352.366,2.582791,1,1,1,1
181,1460,1383,3572,1,1,17357.401,2.582791,1,1,1,1
182,1460,1383,3572,1,1,17378.406,2.582791,1,1,1,1
183,1460,1383,3572,1,1,17362.407,2.582791,1,1,1,1
184,1460,1383,3572,1,1,17380.253,2.582791,1,1,1,1
185,1460,1383,3572,1,1,17387.866,2.582791,1,1,1,1
186,1460,1383,3572,1,1,14335.600,2.582791,1,1,1,1
187,1460,1383,3572,1,1,17394.073,2.582791,1,1,1,1
188,1460,1383,3572,1,1,17397.404,2.582791,1,1,1,1
189,1460,1383,3572,1,1,17395.860,2.582791,1,1,1,1
190,1460,1383,3572,1,1,17402.704,2.582791,1,1,1,1
191,1460,1383,3572,1,1,17414.009,2.582791,1,1,1,1
192,1460,1383,3572,1,1,17420.420,2.582791,1,1,1,1
193,1460,1383,3572,1,1,17425.005,2.582791,1,1,1,1
194,1460,1383,3572,1,1,16450.266,2.582791,1,1,1,1
195,1460,1383,3572,1,1,17415.919,2.582791,1,1,1,1
196,1460,1383,3572,1,1,17420.121,2.582791,1,1,1,1
197,1460,1383,3572,1,1,17272.105,2.582791,1,1,1,1
198,1460,1383,3572,1,1,17426.968,2.582791,1,1,1,1
199,1460,1383,3572,1,1,17421.919,2.582791,1,1,1,1
200,1460,1383,3572,1,1,17421.450,2.582791,1,1,1,1
201,1460,1383,3572,1,1,17426.449,2.582791,1,1,1,1
202,1460,1383,3572,1,1,17297.977,2.582791,1,1,1,1
203,1460,1383,3572,1,1,17421.625,2.582791,1,1,1,1
204,1460,1383,3572,1,1,15916.650,2.582791,1,1,1,1
205,1460,1383,3572,1,1,17322.693,2.582791,1,1,1,1
206,1460,1383,3572,1,1,14087.207,2.582791,1,1,1,1
207,1460,1383,3572,1,1,13105.627,2.582791,1,1,1,1
208,1460,1383,3572,1,1,17400.462,2.582791,1,1,1,1
209,1460,1383,3572,1,1,17403.475,2.582791,1,1,1,1
210,1460,1383,3572,1,1,17403.341,2.582791,1,1,1,1
211,1460,1383,3572,1,1,15113.406,2.582791,1,1,1,1
212,1460,1383,3572,1,1,17418.891,2.582791,1,1,1,1
213,1460,1383,3572,1,1,17382.024,2.582791,1,1,1,1
214,1460,1383,3572,1,1,17385.149,2.582791,1,1,1,1
215,1460,1383,3572,1,1,17393.878,2.582791,1,1,1,1
216,1460,1383,3572,1,1,17394.321,2.582791,1,1,1,1
217,1460,1383,3572,1,1,17402.927,2.582791,1,1,1,1
218,1460,1383,3572,1,1,17298.692,2.582791,1,1,1,1
219,1460,1383,3572,1,1,17299.927,2.582791,1,1,1,1
220,1460,1383,3572,1,1,14583.851,2.582791,1,1,1,1
221,1460,1383,3572,1,1,16823.773,2.582791,1,1,1,1
222,1460,1383,3572,1,1,16822.105,2.582791,1,1,1,1
223,1460,1383,3572,1,1,17074.327,2.582791,1,1,1,1
224,1460,1383,3572,1,1,16775.507,2.582791,1,1,1,1
225,1460,1383,3572,1,1,17209.028,2.582791,1,1,1,1
226,1460,1383,3572,1,1,17196.152,2.582791,1,1,1,1
227,1460,1383,3572,1,1,17186.350,2.582791,1,1,1,1
228,1460,1383,3572,1,1,17193.942,2.582791,1,1,1,1
229,1460,1383,3572,1,1,17191.740,2.582791,1,1,1,1
230,1460,1383,3572,1,1,17201.823,2.582791,1,1,1,1
231,1460,1383,3572,1,1,17206.414,2.582791,1,1,1,1
232,1460,1383,3572,1,1,17201.782,2.582791,1,1,1,1
233,1460,1383,3572,1,1,17208.032,2.582791,1,1,1,1
234,1460,1383,3572,1,1,17216.528,2.582791,1,1,1,1
235,1460,1383,3572,1,1,17212.057,2.582791,1,1,1,1
236,1460,1383,3572,1,1,17218.533,2.582791,1,1,1,1
237,1460,1383,3572,1,1,17243.777,2.582791,1,1,1,1
238,1460,1383,3572,1,1,17240.857,2.582791,1,1,1,1
239,1460,1383,3572,1,1,17246.664,2.582791,1,1,1,1
240,1460,1383,3572,1,1,17246.088,2.582791,1,1,1,1
241,1460,1383,3572,1,1,17248.047,2.582791,1,1,1,1
242,1460,1383,3572,1,1,17252.601,2.582791,1,1,1,1
243,1460,1383,3572,1,1,17246.057,2.582791,1,1,1,1
244,1460,1383,3572,1,1,17256.034,2.582791,1,1,1,1
245,1460,1383,3572,1,1,17256.537,2.582791,1,1,1,1
246,1460,1383,3572,1,1,17261.242,2.582791,1,1,1,1
247,1460,1383,3572,1,1,15574.379,2.582791,1,1,1,1
248,1460,1383,3572,1,1,17257.098,2.582791,1,1,1,1
249,1460,1383,3572,1,1,17263.422,2.582791,1,1,1,1
250,1460,1383,3572,1,1,17257.909,2.582791,1,1,1,1
251,1460,1383,3572,1,1,17258.400,2.582791,1,1,1,1
252,1460,1383,3572,1,1,17264.426,2.582791,1,1,1,1
253,1460,1383,3572,1,1,17268.777,2.582791,1,1,1,1
254,1460,1383,3572,1,1,17264.632,2.582791,1,1,1,1
255,1460,1383,3572,1,1,17264.932,2.582791,1,1,1,1
256,1460,1383,3572,1,1,17270.106,2.582791,1,1,1,1
257,1460,1383,3572,1,1,17262.286,2.582791,1,1,1,1
258,1460,1383,3572,1,1,17265.266,2.582791,1,1,1,1
259,1460,1383,3572,1,1,17269.834,2.582791,1,1,1,1
260,1460,1383,3572,1,1,17261.996,2.582791,1,1,1,1
261,1460,1383,3572,1,1,17260.285,2.582791,1,1,1,1
262,1460,1383,3572,1,1,17254.172,2.582791,1,1,1,1
263,1460,1383,3572,1,1,17261.008,2.582791,1,1,1,1
264,1460,1383,3572,1,1,17262.634,2.582791,1,1,1,1
265,1460,1383,3572,1,1,17260.781,2.582791,1,1,1,1
266,1460,1383,3572,1,1,17261.012,2.582791,1,1,1,1
267,1460,1383,3572,1,1,17261.222,2.582791,1,1,1,1
268,1460,1383,3572,1,1,17267.887,2.582791,1,1,1,1
269,1460,1383,3572,1,1,17260.347,2.582791,1,1,1,1
270,1460,1383,3572,1,1,17265.743,2.582791,1,1,1,1
271,1460,1383,3572,1,1,17272.913,2.582791,1,1,1,1
272,1460,1383,3572,1,1,17259.522,2.582791,1,1,1,1
273,1460,1383,3572,1,1,16228.577,2.582791,1,1,1,1
274,1460,1383,3572,1,1,13377.888,2.582791,1,1,1,1
275,1460,1383,3572,1,1,17249.220,2.582791,1,1,1,1
276,1460,1383,3572,1,1,17254.207,2.582791,1,1,1,1
277,1460,1383,3572,1,1,17257.652,2.582791,1,1,1,1
278,1460,1383,3572,1,1,17261.556,2.582791,1,1,1,1
279,1460,1383,3572,1,1,17261.957,2.582791,1,1,1,1
280,1460,1383,3572,1,1,17125.263,2.582791,1,1,1,1
281,1460,1383,3572,1,1,16950.232,2.582791,1,1,1,1
282,1460,1383,3572,1,1,17244.678,2.582791,1,1,1,1
283,1460,1383,3572,1,1,17236.481,2.582791,1,1,1,1
284,1460,1383,3572,1,1,17240.874,2.582791,1,1,1,1
285,1460,1383,3572,1,1,17231.807,2.582791,1,1,1,1
286,1460,1383,3572,1,1,17241.304,2.582791,1,1,1,1
287,1460,1383,3572,1,1,13368.207,2.582791,1,1,1,1
288,1460,1383,3572,1,1,15983.143,2.582791,1,1,1,1
289,1460,1383,3572,1,1,17211.839,2.582791,1,1,1,1
290,1460,1383,3572,1,1,16654.943,2.582791,1,1,1,1
291,1460,1383,3572,1,1,17190.241,2.582791,1,1,1,1
292,1460,1383,3572,1,1,17196.446,2.582791,1,1,1,1
293,1460,1383,3572,1,1,13760.956,2.582791,1,1,1,1
294,1460,1383,3572,1,1,15905.385,2.582791,1,1,1,1
295,1460,1383,3572,1,1,17201.604,2.582791,1,1,1,1
296,1460,1383,3572,1,1,17208.323,2.582791,1,1,1,1
297,1460,1383,3572,1,1,17212.273,2.582791,1,1,1,1
298,1460,1383,3572,1,1,17214.848,2.582791,1,1,1,1
299,1460,1383,3572,1,1,17214.166,2.582791,1,1,1,1
300,1460,1383,3572,1,1,17214.852,2.582791,1,1,1,1
301,1460,1383,3572,1,1,17198.967,2.582791,1,1,1,1
302,1460,1383,3572,1,1,17201.722,2.582791,1,1,1,1
303,1460,1383,3572,1,1,17203.059,2.582791,1,1,1,1
304,1460,1383,3572,1,1,17201.909,2.582791,1,1,1,1
305,1460,1383,3572,1,1,17200.315,2.582791,1,1,1,1
306,1460,1383,3572,1,1,17201.134,2.582791,1,1,1,1
307,1460,1383,3572,1,1,17201.260,2.582791,1,1,1,1
308,1460,1383,3572,1,1,17208.018,2.582791,1,1,1,1
309,1460,1383,3572,1,1,17212.077,2.582791,1,1,1,1
310,1460,1383,3572,1,1,16579.529,2.582791,1,1,1,1
311,1460,1383,3572,1,1,16342.833,2.582791,1,1,1,1
312,1460,1383,3572,1,1,17212.548,2.582791,1,1,1,1
313,1460,1383,3572,1,1,17209.588,2.582791,1,1,1,1
314,1460,1383,3572,1,1,17215.443,2.582791,1,1,1,1
315,1460,1383,3572,1,1,17221.421,2.582791,1,1,1,1
316,1460,1383,3572,1,1,17217.686,2.582791,1,1,1,1
317,1460,1383,3572,1,1,17224.301,2.582791,1,1,1,1
318,1460,1383,3572,1,1,17225.785,2.582791,1,1,1,1
319,1460,1383,3572,1,1,17206.177,2.582791,1,1,1,1
320,1460,1383,3572,1,1,17210.613,2.582791,1,1,1,1
321,1460,1383,3572,1,1,17212.252,2.582791,1,1,1,1
322,1460,1383,3572,1,1,17219.036,2.582791,1,1,1,1
323,1460,1383,3572,1,1,17220.226,2.582791,1,1,1,1
324,1460,1383,3572,1,1,17210.388,2.582791,1,1,1,1
325,1460,1383,3572,1,1,17214.570,2.582791,1,1,1,1
326,1460,1383,3572,1,1,13899.761,2.582791,1,1,1,1
327,1460,1383,3572,1,1,17211.158,2.582791,1,1,1,1
328,1460,1383,3572,1,1,17166.415,2.582791,1,1,1,1
329,1460,1383,3572,1,1,17137.787,2.582791,1,1,1,1
330,1460,1383,3572,1,1,17121.929,2.582791,1,1,1,1
331,1460,1383,3572,1,1,17087.108,2.582791,1,1,1,1
332,1460,1383,3572,1,1,17093.478,2.582791,1,1,1,1
333,1460,1383,3572,1,1,17096.393,2.582791,1,1,1,1
334,1460,1383,3572,1,1,17071.965,2.582791,1,1,1,1
335,1460,1383,3572,1,1,17073.618,2.582791,1,1,1,1
336,1460,1383,3572,1,1,14687.994,2.582791,1,1,1,1
337,1460,1383,3572,1,1,12900.940,2.582791,1,1,1,1
338,1460,1383,3572,1,1,17091.916,2.582791,1,1,1,1
339,1460,1383,3572,1,1,17067.974,2.582791,1,1,1,1
340,1460,1383,3572,1,1,17074.436,2.582791,1,1,1,1
341,1460,1383,3572,1,1,17078.611,2.582791,1,1,1,1
342,1460,1383,3572,1,1,14634.291,2.582791,1,1,1,1
343,1460,1383,3572,1,1,16988.039,2.582791,1,1,1,1
344,1460,1383,3572,1,1,16992.805,2.582791,1,1,1,1
345,1460,1383,3572,1,1,16996.590,2.582791,1,1,1,1
346,1460,1383,3572,1,1,13299.323,2.582791,1,1,1,1
347,1460,1383,3572,1,1,16995.674,2.582791,1,1,1,1
348,1460,1383,3572,1,1,16965.717,2.582791,1,1,1,1
